split,episode_idx,success,steps,positive_step_delta,positive_pose_error_m,closest_positive_pose_error_m,close_fraction,expert_close_fraction,prefix_position_mse,prefix_gripper_sign_accuracy
train10,0,1,209,9,0.025002531707286835,0.019106686115264893,0.3157894736842105,0.24358974358974358,0.04089095816016197,0.9569377990430622
train10,1,0,300,-17,0.0405907928943634,0.038237836211919785,0.19,0.39572192513368987,0.12429877370595932,0.9090909090909091
train10,2,1,200,7,0.03884720802307129,0.029772654175758362,0.335,0.3333333333333333,0.06252700090408325,0.9611111111111111
train10,3,1,201,-8,0.03466876223683357,0.006341003347188234,0.2736318407960199,0.34054054054054056,0.0652838945388794,0.9567567567567568
train10,4,0,300,13,0.04177778586745262,0.03642835095524788,0.18666666666666668,0.27058823529411763,0.07658716291189194,0.9058823529411765
train10,5,0,300,-20,0.038359664380550385,0.02676887810230255,0.18666666666666668,0.4393063583815029,0.14297500252723694,0.884393063583815
train10,7,1,179,-6,0.03236336633563042,0.03236336261034012,0.26256983240223464,0.265,0.04627002775669098,0.9664804469273743
train10,8,0,300,8,0.04674274101853371,0.03993885964155197,0.18333333333333332,0.2175925925925926,0.10995426028966904,0.9629629629629629
train10,9,0,300,1,0.013317989185452461,0.013317989185452461,0.20666666666666667,0.3765432098765432,0.044992659240961075,0.9938271604938271
train10,10,0,300,-1,0.0643768459558487,0.054150622338056564,0.18666666666666668,0.32386363636363635,0.03087449073791504,0.9943181818181818
val5,12,1,168,-8,0.06335867196321487,0.05875184014439583,0.30357142857142855,0.34911242603550297,0.06977870315313339,0.9523809523809523
val5,27,1,182,5,0.05746404826641083,0.05649024248123169,0.3131868131868132,0.2653061224489796,0.03919624537229538,0.9725274725274725
val5,34,0,300,-5,0.07089118659496307,0.054799605160951614,0.2,0.3651685393258427,0.047949738800525665,0.9719101123595506
val5,36,1,256,-19,0.036922961473464966,0.03373770788311958,0.20703125,0.36,0.1431388556957245,0.905
val5,45,0,300,-9,0.05021781846880913,0.04430021345615387,0.18333333333333332,0.32653061224489793,0.07321372628211975,0.9540816326530612
test5,6,0,300,7,0.040657781064510345,0.04041410610079765,0.19333333333333333,0.2698412698412698,0.09945059567689896,0.9629629629629629
test5,14,1,175,4,0.02231515571475029,0.020998964086174965,0.36,0.2645739910313901,0.039604585617780685,0.9771428571428571
test5,21,1,176,3,0.03079954721033573,0.00689085153862834,0.3693181818181818,0.34065934065934067,0.03278231993317604,0.9829545454545454
test5,39,1,214,-16,0.06341036409139633,0.057501643896102905,0.24766355140186916,0.3317307692307692,0.09133552014827728,0.9230769230769231
test5,41,0,300,11,0.0493084155023098,0.041895754635334015,0.17,0.23668639053254437,0.06069397181272507,0.9349112426035503
